datekey;date;year;quarter;month;week;day;productkey;productid;productname;category;subcategory;brand;customerkey;customerid;customername;location;gender;agegroup;channelkey;channeltype;salesamount;unitssold;rating;sentimentscore;productreturned
157;2023-06-06;2023;2;6;23;6;42;42;Product 42;Home & Garden;Subcat A;Brand Z;92;92;Customer 92;New York;Male;36-45;1;Website;3954.72;8;2;4.59;f
198;2023-07-17;2023;3;7;29;17;13;13;Product 13;Books;Subcat B;Brand Y;40;40;Customer 40;New York;Male;18-25;2;Mobile App;2291.28;8;2;3.23;f
150;2023-05-30;2023;2;5;22;30;17;17;Product 17;Home & Garden;Subcat C;Brand Y;3;3;Customer 3;Florida;Female;46-55;1;Website;901.80;6;2;4.17;f
200;2023-07-19;2023;3;7;29;19;31;31;Product 31;Clothing;Subcat B;Brand W;71;71;Customer 71;Florida;Female;26-35;1;Website;3356.15;7;4;3.17;f
262;2023-09-19;2023;3;9;38;19;29;29;Product 29;Toys;Subcat C;Brand Y;28;28;Customer 28;New York;Male;46-55;1;Website;1515.84;6;3;3.84;f
56;2023-02-25;2023;1;2;8;25;46;46;Product 46;Clothing;Subcat B;Brand Z;63;63;Customer 63;Florida;Female;46-55;1;Website;2006.90;7;3;3.63;f
104;2023-04-14;2023;2;4;15;14;14;14;Product 14;Toys;Subcat C;Brand Z;66;66;Customer 66;Texas;Male;26-35;2;Mobile App;3387.60;10;3;3.50;f
37;2023-02-06;2023;1;2;6;6;1;1;Product 1;Clothing;Subcat B;Brand Y;86;86;Customer 86;Texas;Male;26-35;2;Mobile App;3366.32;8;3;3.41;f
69;2023-03-10;2023;1;3;10;10;34;34;Product 34;Toys;Subcat B;Brand Z;47;47;Customer 47;Florida;Female;36-45;1;Website;3104.64;8;2;4.34;f
33;2023-02-02;2023;1;2;5;2;3;3;Product 3;Books;Subcat A;Brand W;27;27;Customer 27;Florida;Female;36-45;2;Mobile App;2338.47;9;4;3.66;t
289;2023-10-16;2023;4;10;42;16;42;42;Product 42;Home & Garden;Subcat A;Brand Z;11;11;Customer 11;Florida;Female;26-35;1;Website;4834.10;10;3;3.06;f
202;2023-07-21;2023;3;7;29;21;37;37;Product 37;Home & Garden;Subcat B;Brand Y;52;52;Customer 52;New York;Male;36-45;2;Mobile App;3306.24;7;1;4.03;f
297;2023-10-24;2023;4;10;43;24;48;48;Product 48;Books;Subcat A;Brand X;96;96;Customer 96;New York;Male;26-35;2;Mobile App;1840.20;5;2;4.21;f
157;2023-06-06;2023;2;6;23;6;37;37;Product 37;Home & Garden;Subcat B;Brand Y;51;51;Customer 51;Florida;Female;26-35;1;Website;1283.40;3;5;3.33;f
238;2023-08-26;2023;3;8;34;26;23;23;Product 23;Books;Subcat C;Brand W;70;70;Customer 70;Texas;Male;18-25;1;Website;4158.30;10;4;4.76;f
42;2023-02-11;2023;1;2;6;11;39;39;Product 39;Toys;Subcat A;Brand W;31;31;Customer 31;Florida;Female;26-35;1;Website;1463.34;6;5;4.52;f
184;2023-07-03;2023;3;7;27;3;9;9;Product 9;Toys;Subcat A;Brand Y;30;30;Customer 30;Texas;Male;18-25;2;Mobile App;340.16;8;3;4.51;f
11;2023-01-11;2023;1;1;2;11;24;24;Product 24;Toys;Subcat A;Brand X;8;8;Customer 8;New York;Male;46-55;1;Website;868.34;11;3;4.51;f
263;2023-09-20;2023;3;9;38;20;16;16;Product 16;Clothing;Subcat B;Brand X;8;8;Customer 8;New York;Male;46-55;2;Mobile App;2337.60;5;2;3.47;f
123;2023-05-03;2023;2;5;18;3;49;49;Product 49;Toys;Subcat B;Brand Y;51;51;Customer 51;Florida;Female;26-35;2;Mobile App;484.72;8;5;3.45;t
22;2023-01-22;2023;1;1;3;22;14;14;Product 14;Toys;Subcat C;Brand Z;60;60;Customer 60;New York;Male;18-25;2;Mobile App;3801.06;9;2;3.06;f
317;2023-11-13;2023;4;11;46;13;39;39;Product 39;Toys;Subcat A;Brand W;46;46;Customer 46;Texas;Male;26-35;1;Website;4432.90;10;2;4.32;f
287;2023-10-14;2023;4;10;41;14;17;17;Product 17;Home & Garden;Subcat C;Brand Y;58;58;Customer 58;Texas;Male;46-55;1;Website;445.33;1;3;3.84;f
70;2023-03-11;2023;1;3;10;11;11;11;Product 11;Clothing;Subcat C;Brand W;47;47;Customer 47;Florida;Female;36-45;1;Website;1154.65;7;4;3.19;f
288;2023-10-15;2023;4;10;41;15;21;21;Product 21;Clothing;Subcat A;Brand Y;18;18;Customer 18;Texas;Male;46-55;2;Mobile App;248.73;3;4;4.06;f
42;2023-02-11;2023;1;2;6;11;3;3;Product 3;Books;Subcat A;Brand W;10;10;Customer 10;Texas;Male;18-25;2;Mobile App;214.35;5;5;4.81;f
51;2023-02-20;2023;1;2;8;20;17;17;Product 17;Home & Garden;Subcat C;Brand Y;95;95;Customer 95;Florida;Female;18-25;1;Website;879.68;2;2;4.91;f
175;2023-06-24;2023;2;6;25;24;36;36;Product 36;Clothing;Subcat A;Brand X;52;52;Customer 52;New York;Male;36-45;2;Mobile App;3557.97;9;3;4.66;f
304;2023-10-31;2023;4;10;44;31;48;48;Product 48;Books;Subcat A;Brand X;47;47;Customer 47;Florida;Female;36-45;2;Mobile App;1515.45;3;5;3.54;f
250;2023-09-07;2023;3;9;36;7;4;4;Product 4;Toys;Subcat B;Brand X;58;58;Customer 58;Texas;Male;46-55;2;Mobile App;2198.20;10;3;4.02;t
46;2023-02-15;2023;1;2;7;15;38;38;Product 38;Books;Subcat C;Brand Z;60;60;Customer 60;New York;Male;18-25;2;Mobile App;617.96;7;1;4.81;f
217;2023-08-05;2023;3;8;31;5;37;37;Product 37;Home & Garden;Subcat B;Brand Y;35;35;Customer 35;Florida;Female;18-25;1;Website;297.44;8;1;3.74;t
135;2023-05-15;2023;2;5;20;15;11;11;Product 11;Clothing;Subcat C;Brand W;67;67;Customer 67;Florida;Female;36-45;2;Mobile App;1139.24;4;4;4.13;f
272;2023-09-29;2023;3;9;39;29;2;2;Product 2;Home & Garden;Subcat C;Brand Z;90;90;Customer 90;Texas;Male;18-25;1;Website;1418.84;4;3;4.84;f
105;2023-04-15;2023;2;4;15;15;34;34;Product 34;Toys;Subcat B;Brand Z;42;42;Customer 42;Texas;Male;36-45;1;Website;198.40;4;4;4.18;t
311;2023-11-07;2023;4;11;45;7;17;17;Product 17;Home & Garden;Subcat C;Brand Y;10;10;Customer 10;Texas;Male;18-25;2;Mobile App;2268.35;5;2;4.50;f
145;2023-05-25;2023;2;5;21;25;24;24;Product 24;Toys;Subcat A;Brand X;38;38;Customer 38;Texas;Male;46-55;1;Website;3711.24;9;3;4.77;f
173;2023-06-22;2023;2;6;25;22;7;7;Product 7;Home & Garden;Subcat B;Brand W;38;38;Customer 38;Texas;Male;46-55;1;Website;554.28;4;2;4.83;f
131;2023-05-11;2023;2;5;19;11;4;4;Product 4;Toys;Subcat B;Brand X;62;62;Customer 62;Texas;Male;36-45;2;Mobile App;2816.80;8;4;3.03;f
176;2023-06-25;2023;2;6;25;25;14;14;Product 14;Toys;Subcat C;Brand Z;18;18;Customer 18;Texas;Male;46-55;2;Mobile App;1112.10;6;4;4.27;f
53;2023-02-22;2023;1;2;8;22;23;23;Product 23;Books;Subcat C;Brand W;82;82;Customer 82;Texas;Male;36-45;2;Mobile App;365.20;10;3;4.63;f
14;2023-01-14;2023;1;1;2;14;8;8;Product 8;Books;Subcat C;Brand X;8;8;Customer 8;New York;Male;46-55;1;Website;1472.64;3;5;3.31;f
172;2023-06-21;2023;2;6;25;21;36;36;Product 36;Clothing;Subcat A;Brand X;43;43;Customer 43;Florida;Female;46-55;2;Mobile App;1099.70;10;5;4.89;f
129;2023-05-09;2023;2;5;19;9;42;42;Product 42;Home & Garden;Subcat A;Brand Z;46;46;Customer 46;Texas;Male;26-35;1;Website;1161.00;6;1;4.85;f
311;2023-11-07;2023;4;11;45;7;42;42;Product 42;Home & Garden;Subcat A;Brand Z;92;92;Customer 92;New York;Male;36-45;1;Website;123.13;1;4;4.30;f
70;2023-03-11;2023;1;3;10;11;7;7;Product 7;Home & Garden;Subcat B;Brand W;51;51;Customer 51;Florida;Female;26-35;1;Website;542.10;5;2;3.75;f
158;2023-06-07;2023;2;6;23;7;38;38;Product 38;Books;Subcat C;Brand Z;50;50;Customer 50;Texas;Male;18-25;1;Website;768.20;5;5;4.68;f
268;2023-09-25;2023;3;9;39;25;3;3;Product 3;Books;Subcat A;Brand W;58;58;Customer 58;Texas;Male;46-55;1;Website;2391.66;6;3;4.38;f
240;2023-08-28;2023;3;8;35;28;22;22;Product 22;Home & Garden;Subcat B;Brand Z;83;83;Customer 83;Florida;Female;46-55;1;Website;472.92;2;1;3.23;f
34;2023-02-03;2023;1;2;5;3;47;47;Product 47;Home & Garden;Subcat C;Brand W;6;6;Customer 6;Texas;Male;26-35;1;Website;3942.40;10;5;3.72;f
83;2023-03-24;2023;1;3;12;24;48;48;Product 48;Books;Subcat A;Brand X;27;27;Customer 27;Florida;Female;36-45;2;Mobile App;867.96;9;2;4.23;f
103;2023-04-13;2023;2;4;15;13;21;21;Product 21;Clothing;Subcat A;Brand Y;91;91;Customer 91;Florida;Female;26-35;1;Website;1909.20;5;3;4.01;f
261;2023-09-18;2023;3;9;38;18;12;12;Product 12;Home & Garden;Subcat A;Brand X;40;40;Customer 40;New York;Male;18-25;2;Mobile App;1163.97;9;4;3.57;f
157;2023-06-06;2023;2;6;23;6;3;3;Product 3;Books;Subcat A;Brand W;56;56;Customer 56;New York;Male;26-35;1;Website;4854.50;10;5;4.97;t
185;2023-07-04;2023;3;7;27;4;33;33;Product 33;Books;Subcat A;Brand Y;30;30;Customer 30;Texas;Male;18-25;2;Mobile App;1787.40;9;5;4.78;f
77;2023-03-18;2023;1;3;11;18;12;12;Product 12;Home & Garden;Subcat A;Brand X;32;32;Customer 32;New York;Male;36-45;2;Mobile App;2567.70;9;4;4.13;f
31;2023-01-31;2023;1;1;5;31;42;42;Product 42;Home & Garden;Subcat A;Brand Z;52;52;Customer 52;New York;Male;36-45;2;Mobile App;1901.60;10;1;3.94;f
12;2023-01-12;2023;1;1;2;12;29;29;Product 29;Toys;Subcat C;Brand Y;66;66;Customer 66;Texas;Male;26-35;2;Mobile App;250.90;1;3;4.56;f
208;2023-07-27;2023;3;7;30;27;8;8;Product 8;Books;Subcat C;Brand X;42;42;Customer 42;Texas;Male;36-45;2;Mobile App;1201.88;4;4;3.93;f
138;2023-05-18;2023;2;5;20;18;31;31;Product 31;Clothing;Subcat B;Brand W;46;46;Customer 46;Texas;Male;26-35;1;Website;3397.94;7;3;3.48;f
159;2023-06-08;2023;2;6;23;8;11;11;Product 11;Clothing;Subcat C;Brand W;86;86;Customer 86;Texas;Male;26-35;2;Mobile App;1146.93;3;2;3.28;f
246;2023-09-03;2023;3;9;35;3;7;7;Product 7;Home & Garden;Subcat B;Brand W;52;52;Customer 52;New York;Male;36-45;1;Website;969.66;9;1;4.73;f
331;2023-11-27;2023;4;11;48;27;21;21;Product 21;Clothing;Subcat A;Brand Y;92;92;Customer 92;New York;Male;36-45;1;Website;3599.53;11;1;4.15;t
251;2023-09-08;2023;3;9;36;8;22;22;Product 22;Home & Garden;Subcat B;Brand Z;18;18;Customer 18;Texas;Male;46-55;2;Mobile App;323.83;1;1;4.82;f
6;2023-01-06;2023;1;1;1;6;12;12;Product 12;Home & Garden;Subcat A;Brand X;56;56;Customer 56;New York;Male;26-35;2;Mobile App;510.15;1;2;4.33;f
114;2023-04-24;2023;2;4;17;24;43;43;Product 43;Books;Subcat B;Brand W;10;10;Customer 10;Texas;Male;18-25;2;Mobile App;3079.20;6;4;3.21;t
208;2023-07-27;2023;3;7;30;27;7;7;Product 7;Home & Garden;Subcat B;Brand W;66;66;Customer 66;Texas;Male;26-35;1;Website;3939.84;9;2;4.10;f
325;2023-11-21;2023;4;11;47;21;9;9;Product 9;Toys;Subcat A;Brand Y;3;3;Customer 3;Florida;Female;46-55;2;Mobile App;556.75;5;4;4.15;f
258;2023-09-15;2023;3;9;37;15;29;29;Product 29;Toys;Subcat C;Brand Y;71;71;Customer 71;Florida;Female;26-35;2;Mobile App;1285.41;3;2;4.21;f
108;2023-04-18;2023;2;4;16;18;41;41;Product 41;Clothing;Subcat C;Brand Y;96;96;Customer 96;New York;Male;26-35;1;Website;1001.36;2;2;3.27;f
141;2023-05-21;2023;2;5;20;21;1;1;Product 1;Clothing;Subcat B;Brand Y;3;3;Customer 3;Florida;Female;46-55;2;Mobile App;2072.96;4;2;4.46;f
327;2023-11-23;2023;4;11;47;23;8;8;Product 8;Books;Subcat C;Brand X;2;2;Customer 2;Texas;Male;36-45;1;Website;407.16;1;4;3.26;f
291;2023-10-18;2023;4;10;42;18;8;8;Product 8;Books;Subcat C;Brand X;95;95;Customer 95;Florida;Female;18-25;1;Website;1720.07;11;5;4.75;f
269;2023-09-26;2023;3;9;39;26;48;48;Product 48;Books;Subcat A;Brand X;46;46;Customer 46;Texas;Male;26-35;2;Mobile App;5196.70;10;3;3.64;f
277;2023-10-04;2023;4;10;40;4;27;27;Product 27;Home & Garden;Subcat A;Brand W;35;35;Customer 35;Florida;Female;18-25;1;Website;3024.42;6;4;4.32;f
151;2023-05-31;2023;2;5;22;31;28;28;Product 28;Books;Subcat B;Brand X;11;11;Customer 11;Florida;Female;26-35;2;Mobile App;2209.00;5;2;4.35;f
62;2023-03-03;2023;1;3;9;3;2;2;Product 2;Home & Garden;Subcat C;Brand Z;16;16;Customer 16;New York;Male;26-35;2;Mobile App;93.05;1;4;3.16;f
316;2023-11-12;2023;4;11;45;12;23;23;Product 23;Books;Subcat C;Brand W;51;51;Customer 51;Florida;Female;26-35;2;Mobile App;2139.80;10;2;3.67;f
122;2023-05-02;2023;2;5;18;2;44;44;Product 44;Toys;Subcat C;Brand X;43;43;Customer 43;Florida;Female;46-55;1;Website;2097.40;10;3;3.86;t
203;2023-07-22;2023;3;7;29;22;43;43;Product 43;Books;Subcat B;Brand W;12;12;Customer 12;New York;Male;36-45;1;Website;367.14;6;3;4.38;f
60;2023-03-01;2023;1;3;9;1;27;27;Product 27;Home & Garden;Subcat A;Brand W;56;56;Customer 56;New York;Male;26-35;2;Mobile App;898.28;4;3;4.93;f
53;2023-02-22;2023;1;2;8;22;37;37;Product 37;Home & Garden;Subcat B;Brand Y;52;52;Customer 52;New York;Male;36-45;1;Website;1521.45;5;5;3.41;f
156;2023-06-05;2023;2;6;23;5;34;34;Product 34;Toys;Subcat B;Brand Z;30;30;Customer 30;Texas;Male;18-25;1;Website;216.78;1;2;3.69;f
327;2023-11-23;2023;4;11;47;23;42;42;Product 42;Home & Garden;Subcat A;Brand Z;26;26;Customer 26;Texas;Male;26-35;2;Mobile App;1902.08;8;2;4.03;f
184;2023-07-03;2023;3;7;27;3;43;43;Product 43;Books;Subcat B;Brand W;96;96;Customer 96;New York;Male;26-35;2;Mobile App;575.05;5;1;4.82;f
273;2023-09-30;2023;3;9;39;30;34;34;Product 34;Toys;Subcat B;Brand Z;87;87;Customer 87;Florida;Female;36-45;1;Website;90.27;1;2;3.95;f
14;2023-01-14;2023;1;1;2;14;12;12;Product 12;Home & Garden;Subcat A;Brand X;28;28;Customer 28;New York;Male;46-55;2;Mobile App;481.13;1;5;3.19;f
294;2023-10-21;2023;4;10;42;21;36;36;Product 36;Clothing;Subcat A;Brand X;28;28;Customer 28;New York;Male;46-55;1;Website;3682.36;11;4;3.11;f
329;2023-11-25;2023;4;11;47;25;2;2;Product 2;Home & Garden;Subcat C;Brand Z;71;71;Customer 71;Florida;Female;26-35;2;Mobile App;3977.64;9;4;4.53;f
50;2023-02-19;2023;1;2;7;19;28;28;Product 28;Books;Subcat B;Brand X;12;12;Customer 12;New York;Male;36-45;2;Mobile App;426.24;6;5;3.46;f
46;2023-02-15;2023;1;2;7;15;2;2;Product 2;Home & Garden;Subcat C;Brand Z;71;71;Customer 71;Florida;Female;26-35;1;Website;725.31;9;3;4.88;f
303;2023-10-30;2023;4;10;44;30;27;27;Product 27;Home & Garden;Subcat A;Brand W;42;42;Customer 42;Texas;Male;36-45;1;Website;208.12;1;2;4.89;f
284;2023-10-11;2023;4;10;41;11;31;31;Product 31;Clothing;Subcat B;Brand W;48;48;Customer 48;New York;Male;46-55;1;Website;1360.70;10;5;3.64;f
197;2023-07-16;2023;3;7;28;16;34;34;Product 34;Toys;Subcat B;Brand Z;90;90;Customer 90;Texas;Male;18-25;1;Website;4793.30;10;4;4.93;f
55;2023-02-24;2023;1;2;8;24;44;44;Product 44;Toys;Subcat C;Brand X;32;32;Customer 32;New York;Male;36-45;1;Website;1341.60;4;1;4.75;f
166;2023-06-15;2023;2;6;24;15;4;4;Product 4;Toys;Subcat B;Brand X;8;8;Customer 8;New York;Male;46-55;1;Website;1627.12;4;1;4.23;f
107;2023-04-17;2023;2;4;16;17;32;32;Product 32;Home & Garden;Subcat C;Brand X;88;88;Customer 88;New York;Male;46-55;1;Website;637.08;3;5;3.36;t
329;2023-11-25;2023;4;11;47;25;8;8;Product 8;Books;Subcat C;Brand X;32;32;Customer 32;New York;Male;36-45;2;Mobile App;273.34;2;4;3.86;f
171;2023-06-20;2023;2;6;25;20;27;27;Product 27;Home & Garden;Subcat A;Brand W;15;15;Customer 15;Florida;Female;18-25;2;Mobile App;1498.70;5;1;3.46;f
284;2023-10-11;2023;4;10;41;11;29;29;Product 29;Toys;Subcat C;Brand Y;31;31;Customer 31;Florida;Female;26-35;2;Mobile App;2685.97;7;3;3.27;t
10;2023-01-10;2023;1;1;2;10;19;19;Product 19;Toys;Subcat B;Brand W;62;62;Customer 62;Texas;Male;36-45;1;Website;1370.25;7;3;4.81;f
330;2023-11-26;2023;4;11;47;26;29;29;Product 29;Toys;Subcat C;Brand Y;43;43;Customer 43;Florida;Female;46-55;2;Mobile App;839.64;6;3;4.36;f
74;2023-03-15;2023;1;3;11;15;49;49;Product 49;Toys;Subcat B;Brand Y;36;36;Customer 36;New York;Male;26-35;2;Mobile App;405.64;4;4;3.99;f
114;2023-04-24;2023;2;4;17;24;49;49;Product 49;Toys;Subcat B;Brand Y;68;68;Customer 68;New York;Male;46-55;2;Mobile App;1642.24;8;3;3.31;f
316;2023-11-12;2023;4;11;45;12;12;12;Product 12;Home & Garden;Subcat A;Brand X;3;3;Customer 3;Florida;Female;46-55;2;Mobile App;2737.04;8;2;4.55;f
209;2023-07-28;2023;3;7;30;28;33;33;Product 33;Books;Subcat A;Brand Y;71;71;Customer 71;Florida;Female;26-35;2;Mobile App;1109.07;9;3;3.97;f
211;2023-07-30;2023;3;7;30;30;9;9;Product 9;Toys;Subcat A;Brand Y;72;72;Customer 72;New York;Male;36-45;1;Website;316.19;1;2;4.82;f
192;2023-07-11;2023;3;7;28;11;43;43;Product 43;Books;Subcat B;Brand W;40;40;Customer 40;New York;Male;18-25;1;Website;1575.21;7;2;4.59;f
180;2023-06-29;2023;2;6;26;29;27;27;Product 27;Home & Garden;Subcat A;Brand W;47;47;Customer 47;Florida;Female;36-45;1;Website;433.95;3;5;3.22;f
9;2023-01-09;2023;1;1;2;9;13;13;Product 13;Books;Subcat B;Brand Y;51;51;Customer 51;Florida;Female;26-35;1;Website;2212.65;9;2;4.50;t
264;2023-09-21;2023;3;9;38;21;7;7;Product 7;Home & Garden;Subcat B;Brand W;42;42;Customer 42;Texas;Male;36-45;2;Mobile App;3478.65;7;3;3.88;f
279;2023-10-06;2023;4;10;40;6;12;12;Product 12;Home & Garden;Subcat A;Brand X;38;38;Customer 38;Texas;Male;46-55;2;Mobile App;1062.28;4;3;4.96;f
31;2023-01-31;2023;1;1;5;31;16;16;Product 16;Clothing;Subcat B;Brand X;32;32;Customer 32;New York;Male;36-45;1;Website;808.68;3;1;4.84;f
292;2023-10-19;2023;4;10;42;19;36;36;Product 36;Clothing;Subcat A;Brand X;96;96;Customer 96;New York;Male;26-35;2;Mobile App;177.98;1;3;4.49;f
49;2023-02-18;2023;1;2;7;18;23;23;Product 23;Books;Subcat C;Brand W;32;32;Customer 32;New York;Male;36-45;2;Mobile App;280.76;4;3;4.02;f
45;2023-02-14;2023;1;2;7;14;34;34;Product 34;Toys;Subcat B;Brand Z;75;75;Customer 75;Florida;Female;18-25;1;Website;1500.40;10;4;3.51;f
185;2023-07-04;2023;3;7;27;4;31;31;Product 31;Clothing;Subcat B;Brand W;100;100;Customer 100;New York;Male;18-25;2;Mobile App;1662.00;4;4;4.77;f
85;2023-03-26;2023;1;3;12;26;42;42;Product 42;Home & Garden;Subcat A;Brand Z;10;10;Customer 10;Texas;Male;18-25;2;Mobile App;472.77;3;4;4.34;f
